ward_spatial,longitude,latitude
16,-87.66226921,41.77195657
17,-87.66289286,41.76872789
16,-87.6465175,41.76597754
16,-87.64301758,41.79206392
16,-87.64937145,41.78289709
15,-87.67765432,41.78996947
5,-87.5871392,41.77215199
5,-87.59455227,41.76622094
17,-87.65442251,41.76440549
17,-87.6476628,41.73769267
22,-87.70727071,41.83485049
27,-87.6456301,41.89138045
15,-87.67146625,41.81134228
16,-87.66746189,41.79738539
16,-87.68124817,41.77252474
16,-87.66554447,41.77070021
16,-87.65172508,41.77263075
16,-87.64473232,41.79200261
16,-87.65126919,41.78192429
21,-87.64308827,41.73976027
8,-87.59779384,41.73555752
10,-87.56119938,41.7058745
2,-87.63751586,41.90615657
25,-87.65178896,41.85585715
3,-87.62518975,41.82538297
29,-87.77069985,41.88931695
37,-87.76160074,41.89184638
24,-87.72592907,41.86217597
24,-87.71669516,41.85562495
37,-87.72533397,41.89271957
27,-87.69611843,41.88403636
27,-87.67772333,41.88247956
22,-87.73347392,41.84770941
27,-87.63775842,41.90455068
22,-87.72711108,41.83595704
27,-87.64554203,41.8907762
15,-87.67157009,41.81536646
20,-87.66690123,41.80261071
16,-87.66673746,41.79427985
11,-87.63828371,41.81876315
6,-87.63792135,41.77171595
16,-87.65685401,41.79010317
5,-87.58732447,41.7748985
5,-87.59018441,41.77304465
6,-87.60018517,41.75956895
8,-87.58651921,41.75320951
32,-87.6846773,41.93317597
32,-87.68511151,41.92731019
32,-87.67936816,41.92407206
37,-87.76163466,41.89272627
37,-87.748439,41.88891715
24,-87.72182893,41.86509386
24,-87.7047763,41.865531
24,-87.70187941,41.85019018
24,-87.69637359,41.8507129
27,-87.6995591,41.87948067
28,-87.6940779,41.87225428
24,-87.71936266,41.87035973
28,-87.73123628,41.87636652
1,-87.65791904,41.89269116
27,-87.65437065,41.89376278
20,-87.65725946,41.80587424
15,-87.6412761,41.80556256
20,-87.63001598,41.81012877
16,-87.64847844,41.79626289
14,-87.70587033,41.77735656
15,-87.64521225,41.81056774
15,-87.66783391,41.79191005
17,-87.65997587,41.77021602
6,-87.63904503,41.77124312
16,-87.65141145,41.78751153
6,-87.60709662,41.76335027
6,-87.63553033,41.76484404
17,-87.64249274,41.75147245
21,-87.62473058,41.74067253
28,-87.74689515,41.88642178
24,-87.72746298,41.87140002
27,-87.70255301,41.88514349
27,-87.69314985,41.87863851
28,-87.71523792,41.87659307
20,-87.66192991,41.80838839
16,-87.64314741,41.79727805
4,-87.6123317,41.82373078
16,-87.67039592,41.77057351
17,-87.67148331,41.76577007
17,-87.67078395,41.76577384
16,-87.64296329,41.77322626
6,-87.63375676,41.77232511
20,-87.60129837,41.7752663
16,-87.66232849,41.78731939
6,-87.63775001,41.74463681
8,-87.58171222,41.72631019
9,-87.6224482,41.6991903
9,-87.62481193,41.6985322
16,-87.67282966,41.79701053
20,-87.63404808,41.79880148
4,-87.61021657,41.81710231
17,-87.67703935,41.7677588
20,-87.62441794,41.78896889
20,-87.62116828,41.78859515
16,-87.64348204,41.79010273
20,-87.63866749,41.7823424
32,-87.65570618,41.91187677
37,-87.72467188,41.9006731
37,-87.7556454,41.8865305
24,-87.73236881,41.86762832
24,-87.71246105,41.8606142
25,-87.69368455,41.85715042
28,-87.7277808,41.88746904
27,-87.69500184,41.87652701
28,-87.73558437,41.87759952
27,-87.6531164,41.89405687
27,-87.65755561,41.88696433
34,-87.64497579,41.88781932
28,-87.68378892,41.86464078
11,-87.66128665,41.84169735
27,-87.65713655,41.88748622
27,-87.65475238,41.88457348
27,-87.64636391,41.88598438
25,-87.64780817,41.8616301
22,-87.75086794,41.80725623
20,-87.66518488,41.80153851
20,-87.66029702,41.80223562
16,-87.66260019,41.79737154
3,-87.63365543,41.82015842
17,-87.6746463,41.76596623
17,-87.66061058,41.76787661
5,-87.5902941,41.77578807
20,-87.63397772,41.79388359
15,-87.6745741,41.79106626
6,-87.61327417,41.75993423
6,-87.60752688,41.76003338
17,-87.66269313,41.7615472
17,-87.65436688,41.76112612
17,-87.67298448,41.75723318
7,-87.57270109,41.72643202
9,-87.62372314,41.70221199
15,-87.67132176,41.80554815
16,-87.67770234,41.79774918
4,-87.60784629,41.82237595
17,-87.68229279,41.76497659
17,-87.66592222,41.76569381
17,-87.6582452,41.7701244
6,-87.62717279,41.7714478
20,-87.61035648,41.77702043
20,-87.59227376,41.7758497
20,-87.62505805,41.78813047
16,-87.64299131,41.79103087
